Категория;Анекдот
Животные и насекомые;"Готовила гуляш, были мясные обрезки, думаю — порадую животных вкусным. Собака ела, кошка разве что из рук не выдирала, кот... Кот смотрел на меня, как на дуру. ""Мясо? СЫРОЕ? Я тебе что, ВАРВАР? Его ведь ЖЕВАТЬ надо! "" Брезгливо трогал лапкой, морщил усы. Два кусочка кое-как сжевал, последний отдал кошке без боя. Эстет, мать его... Потом еще полчаса мужу возмущенно и громко рассказывал, что учудила эта сумасшедшая женщина. Надо же было так его котейшество оскорбить..."
Студенты;Учитель спросил своих учеников: — Возможно ли просунуть два отверстия через одно? Никто не смог ответить. Учитель: — Господи, какие же вы глупые. Спросите своих родителей, когда вернетесь домой. И на следующий день никто не смог ответить. Учитель: — Видимо, ваши родители тоже те еще глупцы. Ответ очень прост. Затем учитель сделал кольцо, приложив большой и указательный пальцы друг к другу, и поднес к своему носу. Учитель: — Видите, это было так просто, но никто из вас не смог ответить. На следующий день к учителю подошел один из учеников и сказал: — Сэр, мой отец спрашивает, возможно ли просунуть 7 отверстий через одно? Учитель: — Нет, это невозможно. Ученик: — А мой отец сказал, что это возможно. Учитель: — И как же? Ученик: — Возьмите флейту и засуньте ее себе в задницу.
Анекдоты про гинеколога;Девушка на приеме у гинеколога — Доктор, у меня такой деликатный случай. . — Да? — Я каждое утро, у себя во влагалище марку нахожу. . Вот посмотрите, я целый альбом этих марок собрала. — Мдас. . Так это не марки, а наклейки с бананов!
Анекдоты про коронавирус;"Московский бомж, оштрафованный на 4000 за нарушение режима самоизоляции, опротестовал в суде штраф, заявив ""Улица — вот мой дом! "". И через неделю получил квитанцию на общедомовые услуги за освещение улицы."
Криминал;— Как вы догадались, что задержанный — вор? — По шапке. — На нем она горела? — Нет, на нем была моя шапка.
Наука и учеба;"— Как называется Ваша диссертация? — ""Как решетом воду носить"". — Ну, что Вы, голубчик! Кто же так диссертацию называет? Назовите ее так: ""Анализ проблем транспортировки вещества в жидком агрегатном состоянии в сосудах с перфорированным дном"". — Профессор, а как называлась Ваша диссертация? — ""Влияние русских народных музыкальных кнопочных инструментов на развитие религиозно-философской мысли Руси конца ХVIII начала ХХ века"". — То есть, ""На хрена попу баян""?"
Пошлые анекдоты;"Дмитрий долго искал точку ""G"" своей жены ... Оказалось, что она у ее сестры."
Анекдоты про проституток;Мужик снял на ночь пр@ститутку. Она решила прикинуться девственицей. И вот, ночь, они занимаются cексом. Мужик: — Ой Она: — Ай Мужик: — Ой Она: — Ай Мужик: — Ой Она: — Ай и так далее. На утро они просыпаются. И мужик спрашивает: — А почему ты всю ночь айкала: Она: — Да девственница же, больно было. А ты почему всю ночь ойкал? Мужик: — Страшно, когда яйца проваливаются!!!
Работа;Знаете ли вы, что крановщик шестого разряда, не выходя с работы, может забрать ребенка из садика.
Злободневно        / Анекдоты про коронавирус        / Работа;- Мы не можем Вам предоставить кредитные каникулы, потому что Ваш доход не снизился на 30% и более. Смотрите сами: в прошлом году Ваш доход составил 0 рублей, и в этом - тоже 0 рублей. Нет никакого снижения.- А Сечин...- А Сечин имеет полное право на кредитные каникулы. Если раньше его доход составлял 5 миллионов рублей в день, а теперь 3 миллиона в день, то это снижение на 40%.
Анекдоты про коронавирус         / Знаменитости;Весь мир в растерянности:- как победить коронавирус?- как бороться с дешевизной нефти?А Юрий Лоза, сцуко, загадочно молчит...
Анекдоты про коронавирус          / Работа;Не спешите радоваться, когда вам не ставят задач на удаленке. Возможно, работодатель уже научился обходиться без вас.
Пошлые анекдоты;Приходит мужик к другу его встречает жена (друга) — Мань, Сашка дома? — Нет еще не пришел,проходи подожди чай попей. Прошел мужик сидит чайковским давится. — Мань а покажи мне сиськи! — Федь ты че умом повелся. — Да я тебе Мань 500 рублей за это дам! Поломалась Маня но 500 р. за груди короче показала.Федя довольный сидит дальше чаек попивает. — Мань а попу покежешь? — Федя я тебе голову сломаю. — Да Ладно тебе Мань я тебе 1000 дам! Помялась Маня- 1000 рябчиков за попу... вообщем показала. Федя в восторге. — Мань, давай переспим что ли? — Я Федюш тебе ноги сечас поломаю!!! — Мань 3000 дам!!! Согласилась Маня, переспали Федя посидел немного поблагодорил Маню за компот и ласки недождавшись друга ушел.Через некоторое время приходит муж. — Мань Федька не заходил зарплату мою не приносил?
Анекдоты про проституток  / Анекдоты про коронавирус;В Германии самозанятые проститутки получат от государства компенсацию до 15 000 Евро за потерю дохода.А вы держитесь там, вы же не проститутки...
Анекдоты про коронавирус   / Анекдоты про рыбу;При самоизоляции мы поняли, что многие вещи нам в принципе не нужны совсем, например: общение, театры, рестораны, рыбалка, пьянка в гаражах, любовницы, работа, родственники, гражданская авиация, курорты и туризм, депутаты всех мастей, государственная дума, большинство министерств, все политические партии. И помните, граждане начальники всех рангов и мастей: нас очень-очень трудно было загнать домой, но еще трудней будет выгнать на работу.
О жизни;По случаю 80-летнего юбилея внуки подарили дедушке билеты в его родной город.Старик очень обрадовался, что увидит родной дом через много десятков лет. Приехал, смотрит: дом стоит, даже орнаменты на фасаде те же, только обветшали, то же дерево во дворе. Умилился дед, слезинку обронил и увидел на другой стороне улицы будку обувщика, памятную ему с юности. Перешел дорогу и постучал в стекло будки:- Есть ли кто?Изнутри раздался старческий голос:- Есть, говорите.- Помню эту будку еще пятьдесят лет назад! Даже однажды оставил там пару обуви, коричневые мокасины.Изнутри раздалось:- Да, верно, с красным кантом.- Точно!- И нужно было приклеить левую подошву.- Да!- В среду будут готовы.
Евреи     / Анекдоты про соседей;"Как говорила тетя Циля: ""Запомни, Сарочка, шо я тебе скажу: прибить полку можно и соседа попросить. А вот наорать, шо криво прибита — тут-таки муж нужен! ""."
Работа;Я согласен — и впредь не платите, Пусть шатает меня на ходу, Не давайте жилья, не кормите, Все равно на работу приду. День получки — нет траурней даты, Просто нет ее в этом году, Не давайте паек и зарплату, Все равно на работу приду. Отдыхать ни за что не поеду, Это море имел я (в виду), Чай пустой и сухарик к обеду, Все равно на работу приду. И лечиться мне вовсе не надо, Могут вылечить вдруг на беду, Не нужны никакие награды, Все равно на работу приду. Ничего, что одежда в заплатах, Я не вру Вам, имейте в виду, Даже если проезд будет платным, Все равно на работу приду. Я приду , даже если затменье, Даже если начальник Иуда, Даже если в мозгу помутненье, Я ПРИДУ! НО РАБОТАТЬ НЕ БУДУ!!!
Мужчины и женщины       / Анекдоты про измену       / Анекдоты про сына и отца       / Анекдоты про раз;Одна супружеская пара празднует 75-летие совместной жизни. Дед спрашивает бабку:— Слушай, старая, за 75 лет мы с тобой вырастили десять сыновей. Объясни мне, почему, когда все они похожи друг на друга, первый отличается от всех остальных? Ты что, один раз изменила мне?— Знаешь, дед, грешила я.— Ну и кто же отец этого первого сына?— Ты.
Дети;В наше время статус человека можно определить по гаджетам, брендам одежды, автомобилю. В детстве, естественно, были другие материальные ценности. К примеру, сидишь ты в песочнице, достаешь лопатку, и тебя уважают другие дети. Но стоит тебе достать ситечко… все, ты бог песочницы.
Работа         / Анекдоты про три конверта;"Увольняется старый начальник с достаточно хорошего места, собирает вещи и на последний день приходит тот, кто его будет замещать, познакомились, рассказал ему все и напоследок передает ему три конверта:- Слушай, если будет трудно, то открывай первый конверт, если будет очень трудно, то второй, а если прям совсем жопа полная, то открывай уже третий. Поблагодарил новый начальник его, работает. Месяц отработал, чувствует, что жопа какая, вспомнил он про конверты, открывает первый, а там написано: вали все на старого начальника! Так и поступил, все дела наладились, работает дальше. Снова через какое-то время наступает жопа, решил открыть еще один конверт - смотрит, а там написано: вали все на старых сотрудников, которых распустил старый начальник. Ну собственно так и сделал, все дальше опять хорошо, сидит работает спокойно себе, но снова проблемы, да такие, что прям ппц невозможно, решил открыть последний конверт, открывает, а там написано: ""Ну всё, готовь три конверта!""."
Советские;Единственное, что могло сломаться у советской мясорубки — это стол, к которому она крепилась.
Медицина и здоровье / Анекдоты про гинеколога;— Скажите, а вы делаете селфи на рабочем месте и выставляете их в Инстаграм? — Нет, мне как-то не приходило такое в голову. — Но ведь многие это делают. — Видите ли, дело в том, что я — гинеколог.
О жизни;Секрет моего хорошего дня — чистая посуда. Раньше не обращала внимания, а потом один знакомый сказал, мол, заметил, если уходишь из дома, а в раковине грязная посуда, то день проходит так себе. С тех пор не могу выкинуть это из головы и всегда мою. В любом состоянии и как бы не опаздывала. Теперь и на душе спокойно, и посуда всегда чистая!
Анекдоты про коронавирус   / Наука и учеба;Дистанционное обучение. Родительский чат в Вотсапе: Учительница: Доброе утро, родители! Домашнее задание на сегодня: — Прочитать и пересказать рассказ «Как белочка и ежик ходили к семейному психологу», стр. 43-64. Выписать основные тезисы. — Математика: все примеры и задачи со страниц 83-124. — Окружающий мир: не забываем вести журнал погоды. Просьба не только отмечать осадки, но и указывать их количество и точное время, направления и силу ветра (измерять, облизав палец и высунув его в окно), а также сделать глобус из папье-маше и отметить на нем все столицы мира. — Английский: написать сочинение на тему: «еconomicаl problеms in thе third world countriеs» Кстати, учитель музыки передает привет и просит записать видео, на котором ваш ребенок поет партию из «Аве Мария». Мама Вити: Люди, вы в курсе, что наши дети во 2-м классе учатся? Какой глобус? Какие тезисы? Какая Аве мария? Вы с ума сошли? Папа Васи: идите на х…! Мама Тани: Хамло! Не удивительно, что ваш Вася все время плюется на детей! Моя Танюша с удовольствием все выполняет. Так как из-за карантина она не посещает уроки фехтования и макраме, каратэ и танцы, у нее появилось много свободного времени, поэтому задавайте еще что-нибудь для дополнительной отработки! Мама Златы: Все! Моя домашняя школа закрывается! Я завтра выпишу всем своим детям дипломы и у нас будет выпускной. Удалите меня из этого идиотского чата. Мама Пети: кто уже читал тот рассказ о ежике и белке? Что этот психолог им посоветовал? Я тут со своим Олежкой развожусь скоро. Мы вчера чуть не подрались из-за этих гребаных уроков! Этот валенок не знает, что в примере нужно сначала выполнить умножение, а потом прибавление, если оно не стоит в скобках! Мама Оли: Я, например, не понимаю, почему нельзя всех детей закрыть на период карантина в школе? Я бы с удовольствием носила им кушать 4 раза в день. Мама Пети: Поддерживаю! Мама Вити: Поддерживаю! Мама Тани: Идиотская шутка! На улице гуляет страшный вирус! Неужели вы рискнете здоровьем ваших детей?! Мама Оли: У меня 6 детей. Я готова рискнуть всем! Муж начал ходить в магазин без маски и просить людей покашлять на него в надежде, что он заболеет и его положит в больницу, подальше от этого дурдома! И знаете что? Я его даже не осуждаю! Учительница: Мама Оли, еще раз прошу: перестаньте подкидывать ваших детей на порог школы, а сама бегом убегать. От этого директор наше учебное учреждение быстрее не откроет! Мама Кати: Уважаемые родители! Можете взять на вооружение методику, которая помогает мне снимать стресс в этих экстремальных обстоятельствах: каждый вечер я выпиваю бутылку вина, самоизолируюсь в шкафу и кричу в подушку. Папа Васи: еще раз повторяю, идите нах…. с этой учебой и этим чатом! У моего сына уже глаз дергается от ваших заданий! Мы их делать не будем! Папа Руслана: Дружище, я с тобой полностью солидарен. Я мелкому пару хрюшек купил, пускай растит. А то этот б…й карантин не понятно на сколько затянется, а глобус на хлеб не намажешь. Мама Тараса: Как сдать ребенка в детдом, чтобы об этом никто не узнал? Учительница: Для родителей Тараса в сотый раз повторяю: это не Гугл, это родительский чат! Вы на прошлой неделе здесь рецепт куличей искали всю ночь, а у меня телефон тренькал. Мама Тараса: Я извиняюся. . Как-то неудобно получилось. . Мама Иры: Мая Ира маладец! Она уже все зделала поставте ей пиять патаму што она все уже зделала. Учительница: Ира, отдай маме телефон! И не бери без спроса! Мама Тани: Света, какие же в Танюшином классе придурочные родители и учительница! Мама Тани: Ой! Перепутала чат… Мама Тани: Это я имела ввиду класс фехтования… Папа Васи: Иди н…! Учительница: Работы сдать до 17: 00. Мама Тани: Будет сделано! Спасибо за ваш труд! Хорошего дня! Мама Кати: пойду покричу в подушку… Час ночи Мама Тараса: как постоянно бухать и не выглядеть пьяной? Блин, опять не туда написала! Извиняюся!
Анекдоты про коронавирус;Перед изоляцией было громадье планов. Прошло три недели, итог: протер в кухне вытяжку от пыли, набрал 10 кг.
Анекдоты про коронавирус;"Самоизоляция 1020 — Чувак, давай откроем ворота? — Пахом, мы уже вчера это обсуждали. Ворота открывать нельзя, снаружи печенеги. — Но мне репу полоть пора. — Печенеги, Пахом. — Слушай, мы тут сидим уже целую неделю. — Да, Пахом, это называется ""осада"", она так работает. — Вообще, за последние дни печенеги никого не убили... — Это потому что мы за стенами. — Точно? Может, опасность печенегов просто преувеличена? — Ты сейчас серьезно? — Ну да. Не могут же они поубивать нас всех. — Вообще, именно это они обычно и делают в захваченных городах. — Но у меня там репа не прополота..."
Анекдоты про Украину      / Власть и политика;— Что общего между украинскими гастарбайтерами и политиками?— И те и другие пересылают детям деньги через границу. Правда, в противоположных направлениях…
Власть и политика;Приехал к бабушке, смотрю она Кашпировского на ноутбуке смотрит, банок с водой понаставила, ноутбук к больным местам прикладывает:— Бабушка, они же все шарлатаны.— И не говори, внучок, почти тридцать лет хорошего человека не показывали.
Анекдоты про коронавирус;Панда в течение суток в среднем ест 12 часов.Человек во время карантина ест как панда.Из-за этого и название — пандемия.
Анекдоты про коронавирус;Христос воскрес и был отправлен на двухнедельный карантин.
Семья;Думай о домеПоздний вечер, сидит муж с женой и сыном ужинают. Тут сын и говорит:- Ма, спасибо за ужин, а хочешь загадку загадаю?- Ну давай.- Слово из трех букв, о чем постоянно думают женщины?Мать вся вскипела и как даст подзатыльник сыну со словами:- Ты что, совсем с ума сошел?!Сынок через слезы:- Мама, это ДОМ!Батя видят это офивает и отвешивает смачную оплевуху жене:- О доме, дура, надо думать, о доме!
О жизни;Взрослая жизнь — это как поход к ветеринару. Ты как будто собака, которая очень радовалась поездке на машине, пока не поняла, куда ее везут.
Парни и девушки;Две девушки обсуждают парня, с которым одна из них недавно познакомилась.И вот у них такой диалог:— И теперь я вся в муках!— Каких? Дать не дать?— Звонить не звонить. Дать-то точно дам.
Наука и учеба;— У сына вся жизнь — то химия, то лагерь, то химия, то лагерь…— Он рецидивист?!— Ну что вы, он химию в школе преподает, а летом воспитателем ездит в детский лагерь.
Мужчины и женщины;Жена очень долго пыталась уговорить мужа купить очень дорогую хрустальную люстру, копила год, откладывала на неё, через какое-то время мужик решил сделать жене сюрприз - приезжают в магазин - ну, жена, выбирай люстру, счастья не было предела. Люстру купили, едут довольные домой, обязательно заехали в пивнушку, чтобы это дело не насухую прошло. Домой приехали, сидят пьют, люстра тем делом в коробке пылиться, жене не терпится на нее посмотреть, выдает:- Коля, а давай мы ее сегодня повесим! Такая красота пропадает!Муж собственно согласился, поставил стул, сверху еще одну табуретку, так как потолки высокие. Жена смотрит на это дело - муж в семейных трусах, как гордый орел вешает люстру, золото, а не муж, глядит и видит, что у мужа из трусов яйцо вылезло, взяла и дала мужу щелбанчик по яичку. Муж после этого как орел летит с этой эстакады, падает вместе с люстрой на пол, люстра в дребезги, вскакивает с остатками люстры и накидывается на жену со словами:- БЛЯТЬ! Током пиздануло так, что прямо до яиц дошло, хорошо, хоть не насмерть!
Работа;Мы изучили Ваше коммерческое предложение по разработке информационной системы и приняли решение приобрести некоторое количество травы, которую вы курите.
Пошлые анекдоты;Собирает мать дочь-чукчу на учебу в Москву, дает ей советы:- Дочь, если тебя захотят выеб@ть, то ты говори, что у тебя там огонь, так отстанут.Дочь кивнула, уехала, приезжает обратно домой на каникулы, мать сразу её спрашивает:- Доченька, как у тебя дела? Не отъеб@ли? Помог мой совет?- Нет, мамочка, я говорила, что у меня там огонь и представляешь, что трое сразу отошли от меня, а четвертый предложил у меня там сосиску пожарить!- А ты что?- Ну как что, мы собственно жарили, жарили, потом он достал и попросил попробовать, я сказала, что сырая, а он тогда ответил:- Плохо дела, разворачивайся, будем в духовке допекать!
Мужчины и женщины;— Какая разница между старыми обоями и нестарой женщиной?— Старым обоям не обязательно говорить, что ты их любишь, перед тем как их отодрать.
Пошлые анекдоты;Рано утром, как-то просыпается Пьер Безухов, смотрит что-то ему в зубах мешает, взял зубочистку, ковырялся-ковырялся, глядит - малиновая косточка, удивился график, решил позвать дворецкого и узнать как она вообще оказалась у него во рту, так как малину он давно не ел:- Дворецкий! Мы разве вчера ели малину?- Никак нет, сэр!- Но тогда как она попала мне в рот?- Вы, сэр, целовались с Наташей Ростовой...- Ну и..она ела малину?- Нет сэр, она до этого брала минет у поручика Ржевского..- Фу, бл#, но как она оказалась там малиновая косточка?- Сэр, тут такое дело, до этого он трахал своего денщика за то, что тот съел немного малинового варенья...
Анекдоты про коронавирус;"Нынче популярное в народе выражение ""Ты что, совсем нюх потерял?"" является главным симптомом заражения коронавирусом."
Анекдоты про коронавирус;А помните, были такие прикольные места — рестораны? Туда приходишь, говоришь, чего хочешь съесть, тебе это готовят, а ты просто сидишь и ждешь. Если съедаешь потом все до конца, то в конце показывают мультик. Или там денег надо в книжечке оставить в конце. Не помню уже, давно это было.
Анекдоты про коронавирус / Животные и насекомые;Раньше отлавливали собак без сопровождения человека, теперь отлавливают людей без сопровождения собаки.
Мужчины и женщины;— Мужик должен быть хозяином в доме. Я всегда сам решаю, когда стирать, что готовить, когда пить пиво и когда мыть посуду. — Ты давно женат? — Я не женат.
Животные и насекомые;В час ночи звонок ветеринару, занимающемуся частной практикой. Поднимает трубку — какой-то мужик: — Доктор, у меня под окном коты тр@хаются, орут, не могу уснуть! — Ну, позовите кота к телефону! — И что, он перестанет тр@хаться? — Ну я же перестал!
Разные;"— Где ты пропадал три дня? — Был на курсах ""Жизнь без мата"". — Ааа... и как? — Раздосадован. Подите прочь..."
Старики и старухи     / Мужчины и женщины;Внук спрашивает бабушку: — А как обращаться с девушкой на первом свидании? Бабуля ему: — Обращаться с девушкой надо аккуратно, как с елочкой. Внук: — Вырубить и привезти домой?
Анекдоты про коронавирус;"План борьбы с коронавирусом в России: здоровым — самоизолироваться; больным — самоизлечиться; учащимся — самообучиться; работающим — самодистанцироваться; безработным — самообеспечиться; голодным — самонаесться; мертвым — самозакопаться; недовольным — самозаткнуться!"
Анекдоты про коронавирус;Все те, у кого родится ребенок через 9 месяцев, получат штраф за несоблюдение безопасной дистанции.
Наука и учеба;- Семен Маркович, а вы что молчите? Выскажите свое мнение.- Спасибо, нет. Еще скажу какую-нибудь глупость, а вы обидитесь.- Так вы не говорите глупости, скажите что-нибудь умное.- Ну, тогда вы меня вообще возненавидите.
Анекдоты про коронавирус;Самоизоляция дана для того, чтобы ты понял, что никакое свободное время на чтение книг, спорт и развитие тебе не нужно, и ты просто ленивая жопа.
Авто и ГИБДД          / Анекдоты про гаишников;Дело происходит летом, четырех полосная трасса в две стороны с каждой стороны огромное кукурузное поле. Так вот по этой трассе бежит мужик с рулем от камаза и очень так правдоподобно изображает гул двигателя. Через какое-то время езды мужик догоняет двух мужиков, которые пешком вдоль трассы идут и о чем-то беседуют. Останавливается он возле них и говорит:- Приветствую, мужики, вы чего пешком идите? Давайте я Вас подвезу!Мужики тем временем посмотрели друг на друга, видят какой-то контуженный перед ними, говорят - Спасибо, не надо, мы как-нибудь сами дойдем.В этот момент мужик с рулем достает пистолет и орет на них:- А ну ка падлы быстро сели в кузов, а то поубиваю вас здесь!!!Мужики испугались, сели в кузов воображаемого камаза. Бегут они уже втроем, вперед пост гаишников, контуженный увидел это и говорит мужикам в кузове:- Так, мне дальше нельзя, у меня прав нет, я дальше поеду по полю, а вы в свою очередь пешком идите, а за постом встретимся и поедем дальше, только если расскажете все гаишнику - я вас найду и поубиваю!Контуженный поехал через поле, а мужики побежали к гаишнику и рассказывают эту историю, гаишник молча слушает, берет руль от мотоцикла и кричит:- А НУ быстро садитесь и поехали со мной, один сзади, второй в коляску!Мужикам делать нечего, сели в воображаемый мотоцикл и поехали по кукурузному полю, бегут они значит втроем, гаишники говорит тому кто в люльке:- Ты чего на прямых ногах! Упадешь же, ну как присядь!Полчаса так бегут, мужик, который в люльке бежит на полусогнутых ногах, да еще и початки в морду бьют, поворачивается к другу, который на заднем сиденье гаишника и говорит:- Нахуй пересаживались! Ехали бы спокойно на камазе!!!
Анекдоты про коронавирус;Гуляет супружеская пара.Полиция:— Нарушаете.Жена:— Я своего кобеля выгуливаю.
Анекдоты про остров;Размышления: Самым счастливым человеком был Робинзон Крузо.Имел собственный остров , источник чистейшей пресной воды, лес со съедобной растительностью , скот, персональное море... Питался самыми экологически чистыми продуктами на планете. Практически, никто на его собственность не посягал. Он не платил никому налоги. Ему никто не напрягал мозг. Никаких проблем с деньгами. Законы, по которым он жил, создавал сам. И все это счастье на протяжении почти 30 лет! Таким Даниэль Дефо изобразил мечту нормального человека!
Авто и ГИБДД;В нашей стране, наивность — это когда переходя дорогу с односторонним движением, думаешь что нужно посмотреть только в одну сторону.
Студенты    / Анекдоты про логику;Начинается экзамен по предмету логика, полный зал студентов.Преподаватель задает вопрос:- Итак, представьте, что на борту самолета 500 кирпичей, один из кирпичей неожиданно выпал, сколько на борту их осталось?Студент:- Ерунда, осталось 499!Преподаватель:- Правильно, следующий вопрос - как поместить слона в холодильник за три операции?Студент:- Ну так это нужно открыть, поместить туда слона и закрыть.Преподаватель:- Верно, а как поместить туда оленя за четыре операции?Студент:- Нужно открыть, вынуть слона, положить оленя и закрыть дверцу холодильника.Преподаватель:- Абсолютно точно, а представьте, что у льва день рождения, но поздравить его пришли не все, одно животное не пришло, почему?Студент:- Так это..олень то в холодильнике!Преподаватель:- Верно, вы хороший студент, давайте дальше, как вы думаете - сможет ли старушка пройти через болото с крокодилами?Студент:- Конечно может, потому что все животные ушли на день рождение льва!Преподаватель:- А вы очень хороший ученик, последний вопрос - старушка прошла через болото, но все равно умерла, что с ней случилось?Студент:- Эм...может у нее сердечный приступ?Преподаватель:- А вот и не угадали! На неё упал кирпич, который выпал из самолета! Приходите на пересдачи ко мне через 2 недели!
Наука и учеба;Когда вы натягиваете один носок на левую ногу, второй автоматически становится правым. Причем моментально, независимо от расстояния между вашими ногами. Это и есть суть квантовой запутанности.
Анекдоты про коронавирус      / Анекдоты про таксистов;Московских таксистов обязали проверять электронные пропуска пассажиров. В машину садится мужик. — Здравствуйте! На Динамо? Пропуск у вас есть? — Ты машину дезинфицировал? — Эх, твоя взяла! Поехали!
Пошлые анекдоты       / Анекдоты про тетю;— Дорогой, кого бы ты хотел увидеть в спальне сегодня вечером: шаловливую медсестру, робкую горничную или строгую учительницу? — Ты мою позицию знаешь: не нужны нам пока все эти игры, мы же и так молодые, все на эмоциях. Давай, попозже поиграем, лет через двадцать! — Боюсь, через двадцать лет к тебе в спальню придут пожилая санитарка тетя Клава, уборщица тетя Маша или заслуженный учитель РФ Людмила Константиновна!
